만족도,단어,빈도수
723,만족,얼른,71
724,만족,반,71
725,만족,색감,70
726,만족,현재,70
727,만족,살이,70
728,만족,기압,70
729,만족,침,70
730,만족,수건,70
731,만족,나이,70
732,만족,신분,70
733,만족,구멍,70
734,만족,박멸,70
735,만족,배터리,69
736,만족,보이지,69
737,만족,감동,69
738,만족,삿는데,69
739,만족,뉴,69
740,만족,링,69
741,만족,총알,69
742,만족,살걸,69
743,만족,이후,69
744,만족,새,69
745,만족,시거잭,68
746,만족,펜,68
747,만족,에서,68
748,만족,쿠폰,68
749,만족,곧,68
750,만족,삿,68
751,만족,만족도,68
752,만족,외관,68
753,만족,고해,68
754,만족,당뇨,68
755,만족,신세계,68
756,만족,라면,68
757,만족,플레이,68
758,만족,네이버,68
759,만족,구비,68
760,만족,보관,67
761,만족,냉동,67
762,만족,오오,67
763,만족,재활용,67
764,만족,무형,66
765,만족,핑크,66
766,만족,화면,66
767,만족,흡수,66
768,만족,주위,66
769,만족,급여,66
770,만족,처,66
771,만족,집게,65
772,만족,분위기,65
773,만족,카트리지,65
774,만족,땡큐,65
775,만족,월,65
776,만족,여자친구,65
777,만족,한참,65
778,만족,결정,65
779,만족,염,64
780,만족,쭉,64
781,만족,는걸,64
782,만족,부위,64
783,만족,듀얼,64
784,만족,이용,64
785,만족,상자,64
786,만족,뿌리,64
787,만족,온열,64
788,만족,움,64
789,만족,쉬,64
790,만족,엔진,64
791,만족,쓰레기,64
792,만족,어머님,64
793,만족,옹,63
794,만족,법,63
795,만족,숨쉬기,63
796,만족,침대,63
797,만족,날씨,63
798,만족,겹,63
799,만족,사장,63
800,만족,아래,63
801,만족,욤,63
802,만족,연어,62
803,만족,직,62
804,만족,차콜,62
805,만족,이구,62
806,만족,양치질,62
807,만족,모빌,62
808,만족,밥,62
809,만족,마루,62
810,만족,점검,62
811,만족,스트레스,62
812,만족,쓰시,62
813,만족,타입,62
814,만족,고요,62
815,만족,상담,62
816,만족,이정,62
817,만족,막상,61
818,만족,자국,61
819,만족,행사,61
820,만족,파,61
821,만족,불소,61
822,만족,기록,61
823,만족,성비,61
824,만족,현상,60
825,만족,턱,60
826,만족,사드,60
827,만족,이만,60
828,만족,괜,60
829,만족,반품,60
830,만족,유통,60
831,만족,갑자기,60
832,만족,북어트릿,60
833,만족,대도,60
834,만족,사이트,60
835,만족,부피,60
836,만족,를,59
837,만족,매하,59
838,만족,대쉬,59
839,만족,모로,59
840,만족,밀리,59
841,만족,종일,59
842,만족,생일,59
843,만족,보시,59
844,만족,아아,59
845,만족,주행,59
846,만족,주말,59
847,만족,어어,58
848,만족,시중,58
849,만족,가로,58
850,만족,끼,58
851,만족,소형견,58
852,만족,실내,58
853,만족,자성,58
854,만족,대량,58
855,만족,뭘,58
856,만족,소문,58
857,만족,깜짝,58
858,만족,스펀지,58
859,만족,갑,58
860,만족,누,58
861,만족,브랜드,58
862,만족,쿠션,58
863,만족,운동,57
864,만족,자세,57
865,만족,소방,57
866,만족,물티슈,57
867,만족,법도,57
868,만족,여분,57
869,만족,겸,57
870,만족,성도,57
871,만족,크랩,57
872,만족,물품,57
873,만족,속,56
874,만족,진심,56
875,만족,다다,56
876,만족,분도,56
877,만족,폭,56
878,만족,과도,56
879,만족,운행,56
880,만족,쫌,56
881,만족,애견,56
882,만족,품절,56
883,만족,정보,56
884,만족,사이,56
885,만족,자기,55
886,만족,잘못,55
887,만족,고무,55
888,만족,할머니,55
889,만족,도착,55
890,만족,답변,55
891,만족,지난번,55
892,만족,국내,55
893,만족,미니,55
894,만족,런가,55
895,만족,인증,55
896,만족,예방,55
897,만족,애가,55
898,만족,언제,54
899,만족,난,54
900,만족,탈구,54
901,만족,이빨,54
902,만족,활용,54
903,만족,뜸,54
904,만족,가면,54
905,만족,조인트,54
906,만족,치킨,54
907,만족,필수품,54
908,만족,듭,54
909,만족,여유,54
910,만족,기준,54
911,만족,내부,54
912,만족,프리미엄,54
913,만족,려고,54
914,만족,센터,54
915,만족,최저,53
916,만족,하,53
917,만족,체스,53
918,만족,뿐,53
919,만족,채,53
920,만족,놈,53
921,만족,요새,53
922,만족,울집,53
923,만족,잡고,52
924,만족,욧,52
925,만족,흠,52
926,만족,세탁,52
927,만족,냉장고,52
928,만족,세상,52
929,만족,탄탄,52
930,만족,모,52
931,만족,연휴,52
932,만족,요거,52
933,만족,만큼,52
934,만족,피로,52
935,만족,닭발,52
936,만족,루,52
937,만족,카,51
938,만족,은근,51
939,만족,다가,51
940,만족,가요,51
941,만족,땜,51
942,만족,만해,51
943,만족,인지,51
944,만족,제조,51
945,만족,복도,51
946,만족,물통,51
947,만족,삿어,51
948,만족,쇼,51
949,만족,건조,51
950,만족,검정,51
951,만족,슬개골탈구,51
952,만족,통풍,51
953,만족,라미,51
954,만족,급속,51
955,만족,워,50
956,만족,도로,50
957,만족,어른,50
958,만족,신체,50
959,만족,옷장,50
960,만족,디스크,50
961,만족,표시,50
962,만족,일회용,50
963,만족,마침,50
964,만족,녀석,50
965,만족,요다음,50
966,만족,살껄,50
967,만족,잉크,49
968,만족,애매,49
969,만족,분무기,49
970,만족,발라,49
971,만족,정품,49
972,만족,요요,49
973,만족,동봉,49
974,만족,이즈,49
975,만족,카늘,49
976,만족,미세,49
977,만족,문,49
978,만족,얼굴,49
979,만족,남친,49
980,만족,짐,49
981,만족,리터,49
982,만족,검정색,49
983,만족,노,49
984,만족,측정기,49
985,만족,식칼,49
986,만족,대용,49
987,만족,실버,48
988,만족,차단,48
989,만족,군데,48
990,만족,방부제,48
991,만족,포스,48
992,만족,털,48
993,만족,정화,48
994,만족,아들,48
995,만족,봄,48
996,만족,최근,48
997,만족,편입,48
998,만족,오줌,48
999,만족,겉,48
1000,만족,치,48
1001,만족,비닐,48
1002,만족,모델,48
1003,만족,읍니,48
1004,만족,마자,48
1005,만족,바지,48
1006,만족,무슨,48
1007,만족,여성,48
1008,만족,왓,48
1009,만족,확정,48
1010,만족,하하,48
1011,만족,방식,48
1012,만족,맥스,48
1013,만족,인,48
1014,만족,충격,47
1015,만족,스타일,47
1016,만족,촉,47
1017,만족,골,47
1018,만족,규,47
1019,만족,유선,47
1020,만족,설정,47
1021,만족,의자,47
1022,만족,검사,47
1023,만족,오래오래,47
1024,만족,아보,47
1025,만족,몇,47
1026,만족,텀블러,47
1027,만족,제차,47
1028,만족,포,47
1029,만족,수량,47
1030,만족,왼쪽,47
1031,만족,녹십자,47
1032,만족,점점,46
1033,만족,커피,46
1034,만족,템,46
1035,만족,구취,46
